rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/approx_kl
3.84,101,127,206848,4.191385269165039,1628,0.48059672117233276,-0.011222520419687498,0.0003,-0.7835810146294534,1.4766744375228882,3.1135468378663065,0.287158203125,1000,0.2,0.13444993
3.81,102,126,208896,4.13938570022583,1645,0.4929768443107605,-0.010222361257183366,0.0003,-0.7795143618248404,1.304854154586792,3.1017775516957045,0.284228515625,1010,0.2,0.12881304
4.15,103,126,210944,3.660385847091675,1661,0.5135571956634521,-0.00929324332100805,0.0003,-0.7766351693309843,2.000377655029297,3.222598922997713,0.27861328125,1020,0.2,0.15892261
4.24,104,126,212992,3.385385513305664,1677,0.4950352907180786,-0.008191680745221674,0.0003,-0.756668503396213,0.9268439412117004,3.052479473873973,0.27236328125,1030,0.2,0.1354929
3.81,105,126,215040,4.058385372161865,1694,0.5524925589561462,-0.006080037332139909,0.0003,-0.7829256504774094,1.4677960872650146,2.9048363864421844,0.267431640625,1040,0.2,0.096657045
3.88,106,126,217088,3.9983859062194824,1710,0.5635194182395935,-0.0031725683045806365,0.0003,-0.7902228238061071,1.3437883853912354,3.0480118934065104,0.265380859375,1050,0.2,0.1177085
4.07,107,126,219136,3.6673858165740967,1726,0.5210238695144653,-0.007968933365191333,0.0003,-0.7807528654113411,0.7812976837158203,3.1222649686038495,0.263916015625,1060,0.2,0.14101687
3.99,108,126,221184,3.7473859786987305,1743,0.48019373416900635,-0.007826960146485363,0.0003,-0.770093244034797,1.5583326816558838,3.2388316236436365,0.270751953125,1070,0.2,0.15707082
3.95,109,126,223232,3.8703856468200684,1759,0.5144070982933044,-0.008632767264498398,0.0003,-0.7648588822223246,1.5074517726898193,3.318658410012722,0.249951171875,1080,0.2,0.11957108
3.92,110,126,225280,3.9773855209350586,1775,0.5205258131027222,-0.0028043242229614405,0.0003,-0.8204044900834561,1.3827362060546875,3.1475628953427077,0.2544921875,1090,0.2,0.11331171
4.06,111,126,227328,3.75138521194458,1791,0.5363093614578247,-0.010341361549217254,0.0003,-0.7799176041036844,1.8749500513076782,3.1757955871522427,0.25419921875,1100,0.2,0.11634789
4.0,112,126,229376,3.7493855953216553,1807,0.4820280075073242,-0.007530580311140511,0.0003,-0.8331884035840631,1.8746521472930908,3.386632531136274,0.28427734375,1110,0.2,0.12790437
4.03,113,126,231424,3.885385513305664,1824,0.5304961800575256,-0.00686301299429033,0.0003,-0.7941350982524454,1.2807732820510864,3.1184989608824254,0.2701171875,1120,0.2,0.105603844
3.99,114,126,233472,3.8503854274749756,1840,0.5381211638450623,-0.006896030090865679,0.0003,-0.6941321407444775,1.5178356170654297,2.979291794449091,0.2486328125,1130,0.2,0.11331561
3.72,115,126,235520,4.310385227203369,1856,0.5104435682296753,-0.013076727601583116,0.0003,-0.7144440433941781,1.8107047080993652,3.1493685871362684,0.25986328125,1140,0.2,0.13506901
3.94,116,126,237568,4.058385848999023,1873,0.4962892532348633,-0.010157030826667324,0.0003,-0.7285538475960494,1.2792929410934448,2.980465042963624,0.25244140625,1150,0.2,0.17499432
4.06,117,126,239616,3.757800340652466,1889,0.5295476913452148,-0.01519627480302006,0.0003,-0.6779222302138805,2.0717854499816895,3.0591659151017665,0.251708984375,1160,0.2,0.1344724
